category,name,storageDays,storageDesc,storageMethod
과일,포도,14,"1~2주","씻지 않은 상태로 종이봉투나 키친타월에 감싸 냉장 보관하세요."
과일,자두,5,"후숙 후 3~5일","단단하면 실온에서 후숙시키고, 익은 후에는 냉장 보관하세요."
과일,복숭아,5,"후숙 후 3~5일","단단하면 실온에서 후숙시키고, 익은 후에는 키친타월에 감싸 냉장 보관하세요."
과일,감,7,"5~7일","단단감은 실온 보관 가능하며, 홍시(연시)는 냉장 보관하세요."
기타,곶감,180,"3~6개월","밀폐용기에 담아 냉동 보관하세요."
과일,바나나,7,"3~7일","실온에 보관하세요. 꼭지 부분을 랩으로 감싸면 숙성을 지연시킬 수 있습니다. (냉장 보관 금지)"
과일,파인애플,5,"후숙 후 3~5일","잎 부분을 아래로 향하게 하여 실온 보관하면 당도가 고루 퍼집니다. 후숙 후 잘라서 냉장 보관하세요."
과일,오렌지,21,"2~3주","서늘한 실온 또는 냉장 보관하세요."
과일,자몽,21,"2~3주","오렌지와 동일하게 보관하세요."
과일,레몬,28,"3~4주","낱개로 랩이나 비닐 팩에 싸서 냉장 보관하면 수분 증발을 막을 수 있습니다."
과일,망고,5,"후숙 후 3~5일","검은 반점이 생길 때까지 실온에서 후숙시킨 후 냉장 보관하세요."
과일,체리,7,"5~7일","씻지 않은 상태로 밀폐용기에 담아 냉장 보관하세요."
과일,석류,21,"2~3주","통째로 서늘한 실온이나 냉장 보관하세요."
과일,아보카도,5,"후숙 후 3~5일","단단하면 실온에서 후숙시키고, 익은 후에는 냉장 보관하세요."
